pkt arrived time,pkt arrived time(Scaled),MACsrc,MACdst,APPID,length,gocbRef,Timeallowedtolive,datset,goID,t,stNum,sqNum,istest?,num of data,data
1648192362.86224,8240961.81431120,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648192361,1,0,FALSE,4,"[0, 1, 0, 1]"
1648192363.26708,8240961.81633540,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648192362,1,0,FALSE,4,"[1, 0, 0, 1]"
1648192363.86273,8240961.81931365,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648192361,1,1,FALSE,4,"[0, 1, 0, 1]"
1648192364.26739,8240961.82133695,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648192362,1,1,FALSE,4,"[1, 0, 0, 1]"
1648192364.86290,8240961.82431450,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648192361,1,2,FALSE,4,"[0, 1, 0, 1]"
1648192365.26773,8240961.82633865,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648192362,1,2,FALSE,4,"[1, 0, 0, 1]"
1648192365.28548,8240961.82642740,20:17:01:16:f0:11,01:0c:cd:01:00:01,0x8003,152,SimulationTestbed/PIOC$FDR$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_FDR_CBStval,1648192364,1,0,FALSE,7,"[0, 1, 0, 0, 0, 0, 0]"
1648192365.86337,8240961.82931685,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648192361,1,3,FALSE,4,"[0, 1, 0, 1]"
1648192366.26799,8240961.83133995,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648192362,1,3,FALSE,4,"[1, 0, 0, 1]"
1648192366.28549,8240961.83142745,20:17:01:16:f0:11,01:0c:cd:01:00:01,0x8003,152,SimulationTestbed/PIOC$FDR$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_FDR_CBStval,1648192364,1,1,FALSE,7,"[0, 1, 0, 0, 0, 0, 0]"
1648192366.86490,8240961.83432450,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648192361,1,4,FALSE,4,"[0, 1, 0, 1]"
1648192367.26971,8240961.83634855,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648192362,1,4,FALSE,4,"[1, 0, 0, 1]"
1648192367.28569,8240961.83642845,20:17:01:16:f0:11,01:0c:cd:01:00:01,0x8003,152,SimulationTestbed/PIOC$FDR$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_FDR_CBStval,1648192364,1,2,FALSE,7,"[0, 1, 0, 0, 0, 0, 0]"
1648192367.86514,8240961.83932570,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648192361,1,5,FALSE,4,"[0, 1, 0, 1]"
1648192368.27408,8240961.84137040,20:17:01:16:f0:32,01:0c:cd:01:00:01,0x8002,147,SimulationTestbed/PIOC$TRSF2$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF2_CBStval,1648192362,1,5,FALSE,4,"[1, 0, 0, 1]"
1648192368.28589,8240961.84142945,20:17:01:16:f0:11,01:0c:cd:01:00:01,0x8003,152,SimulationTestbed/PIOC$FDR$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_FDR_CBStval,1648192364,1,3,FALSE,7,"[0, 1, 0, 0, 0, 0, 0]"
1648192368.86549,8240961.84432745,20:17:01:16:f0:23,01:0c:cd:01:00:01,0x8001,147,SimulationTestbed/PIOC$TRSF1$CBStval,2000,SimulationTestbed/PIOC$CBStval,PIOC_TRSF1_CBStval,1648192361,1,6,FALSE,4,"[0, 1, 0, 1]"
